Subject	Object
ORPHANET.ORDO:1112	ORPHANET.ORDO:404574
ORPHANET.ORDO:1113	ORPHANET.ORDO:294959
ORPHANET.ORDO:1113	ORPHANET.ORDO:404574
ORPHANET.ORDO:1114	ORPHANET.ORDO:183481
ORPHANET.ORDO:1115	ORPHANET.ORDO:139027
ORPHANET.ORDO:1115	ORPHANET.ORDO:183481
ORPHANET.ORDO:1116	ORPHANET.ORDO:139027
ORPHANET.ORDO:1116	ORPHANET.ORDO:165655
ORPHANET.ORDO:1116	ORPHANET.ORDO:183481
ORPHANET.ORDO:1116	ORPHANET.ORDO:89832
ORPHANET.ORDO:1117	ORPHANET.ORDO:139027
ORPHANET.ORDO:1117	ORPHANET.ORDO:183481
ORPHANET.ORDO:1117	ORPHANET.ORDO:98620
ORPHANET.ORDO:1118	ORPHANET.ORDO:294957
ORPHANET.ORDO:111	owl:Thing
ORPHANET.ORDO:1120	ORPHANET.ORDO:108993
ORPHANET.ORDO:1120	ORPHANET.ORDO:183622
ORPHANET.ORDO:1121	ORPHANET.ORDO:294957
ORPHANET.ORDO:1122	ORPHANET.ORDO:294957
ORPHANET.ORDO:1123	ORPHANET.ORDO:102283
ORPHANET.ORDO:1123	ORPHANET.ORDO:183763
ORPHANET.ORDO:1123	ORPHANET.ORDO:90642
ORPHANET.ORDO:1125	ORPHANET.ORDO:98688
ORPHANET.ORDO:1126	ORPHANET.ORDO:268926
ORPHANET.ORDO:1129	ORPHANET.ORDO:102283
ORPHANET.ORDO:1129	ORPHANET.ORDO:183763
ORPHANET.ORDO:112	owl:Thing
ORPHANET.ORDO:1130	ORPHANET.ORDO:330197
ORPHANET.ORDO:1131	owl:Thing
ORPHANET.ORDO:1133	owl:Thing
ORPHANET.ORDO:1135	ORPHANET.ORDO:330206
ORPHANET.ORDO:1136	ORPHANET.ORDO:268744
ORPHANET.ORDO:113	ORPHANET.ORDO:183487
ORPHANET.ORDO:113	EFO:0006859
ORPHANET.ORDO:113	EFO:0007392
ORPHANET.ORDO:113	MONDO:0019117
ORPHANET.ORDO:1143	ORPHANET.ORDO:1037
ORPHANET.ORDO:1144	ORPHANET.ORDO:90642
ORPHANET.ORDO:1144	ORPHANET.ORDO:97120
ORPHANET.ORDO:1145	ORPHANET.ORDO:1037
ORPHANET.ORDO:1145	ORPHANET.ORDO:98505
ORPHANET.ORDO:1146	ORPHANET.ORDO:330206
ORPHANET.ORDO:1146	ORPHANET.ORDO:97120
ORPHANET.ORDO:1147	ORPHANET.ORDO:97120
ORPHANET.ORDO:1149	ORPHANET.ORDO:1037
ORPHANET.ORDO:114	ORPHANET.ORDO:93441
ORPHANET.ORDO:1150	ORPHANET.ORDO:1037
ORPHANET.ORDO:1150	ORPHANET.ORDO:156237
ORPHANET.ORDO:1154	ORPHANET.ORDO:97120
ORPHANET.ORDO:1155	ORPHANET.ORDO:1037
ORPHANET.ORDO:1155	ORPHANET.ORDO:97242
ORPHANET.ORDO:1159	ORPHANET.ORDO:253
ORPHANET.ORDO:115	ORPHANET.ORDO:97120
ORPHANET.ORDO:115	MONDO:0017310
ORPHANET.ORDO:1166	ORPHANET.ORDO:330197
ORPHANET.ORDO:1168	ORPHANET.ORDO:35656
ORPHANET.ORDO:1168	ORPHANET.ORDO:98097
ORPHANET.ORDO:1168	ORPHANET.ORDO:98688
ORPHANET.ORDO:116	owl:Thing
ORPHANET.ORDO:1170	ORPHANET.ORDO:98095
ORPHANET.ORDO:1171	ORPHANET.ORDO:90642
ORPHANET.ORDO:1171	ORPHANET.ORDO:94145
ORPHANET.ORDO:1171	ORPHANET.ORDO:98672
ORPHANET.ORDO:1172	ORPHANET.ORDO:183518
ORPHANET.ORDO:1172	ORPHANET.ORDO:98539
ORPHANET.ORDO:1172	ORPHANET.ORDO:98693
ORPHANET.ORDO:1173	ORPHANET.ORDO:181387
ORPHANET.ORDO:1173	ORPHANET.ORDO:183518
ORPHANET.ORDO:1174	ORPHANET.ORDO:79373
ORPHANET.ORDO:117573	ORPHANET.ORDO:96346
ORPHANET.ORDO:1175	owl:Thing
ORPHANET.ORDO:1177	ORPHANET.ORDO:98098
ORPHANET.ORDO:1178	ORPHANET.ORDO:183518
ORPHANET.ORDO:1179	ORPHANET.ORDO:306768
ORPHANET.ORDO:1180	ORPHANET.ORDO:181387
ORPHANET.ORDO:1180	ORPHANET.ORDO:183518
ORPHANET.ORDO:1182	ORPHANET.ORDO:316235
ORPHANET.ORDO:1185	ORPHANET.ORDO:183518
ORPHANET.ORDO:1186	ORPHANET.ORDO:254871
ORPHANET.ORDO:1186	ORPHANET.ORDO:98098
ORPHANET.ORDO:1187	ORPHANET.ORDO:79191
ORPHANET.ORDO:1187	ORPHANET.ORDO:90642
ORPHANET.ORDO:1187	MONDO:0020119
ORPHANET.ORDO:1188	ORPHANET.ORDO:90642
ORPHANET.ORDO:1188	MONDO:0016612
ORPHANET.ORDO:118	ORPHANET.ORDO:207018
ORPHANET.ORDO:118	ORPHANET.ORDO:217581
ORPHANET.ORDO:118	ORPHANET.ORDO:79215
ORPHANET.ORDO:118	ORPHANET.ORDO:93448
ORPHANET.ORDO:1190	ORPHANET.ORDO:138055
ORPHANET.ORDO:1190	ORPHANET.ORDO:93425
ORPHANET.ORDO:1190	ORPHANET.ORDO:93441
ORPHANET.ORDO:1192	ORPHANET.ORDO:166463
ORPHANET.ORDO:1192	ORPHANET.ORDO:90642
ORPHANET.ORDO:1192	ORPHANET.ORDO:93547
ORPHANET.ORDO:1193	owl:Thing
ORPHANET.ORDO:1194	ORPHANET.ORDO:309136
ORPHANET.ORDO:1195	ORPHANET.ORDO:309842
ORPHANET.ORDO:1195	ORPHANET.ORDO:98360
ORPHANET.ORDO:1198	ORPHANET.ORDO:108967
ORPHANET.ORDO:119	ORPHANET.ORDO:102015
ORPHANET.ORDO:119	ORPHANET.ORDO:207063
ORPHANET.ORDO:119	ORPHANET.ORDO:217610
ORPHANET.ORDO:11	ORPHANET.ORDO:263723
ORPHANET.ORDO:1200	ORPHANET.ORDO:330206
ORPHANET.ORDO:1200	ORPHANET.ORDO:90642
ORPHANET.ORDO:1201	ORPHANET.ORDO:108967
ORPHANET.ORDO:1201	ORPHANET.ORDO:365563
ORPHANET.ORDO:1202	ORPHANET.ORDO:156249
ORPHANET.ORDO:1203	ORPHANET.ORDO:108963
ORPHANET.ORDO:1215	ORPHANET.ORDO:140456
ORPHANET.ORDO:1215	ORPHANET.ORDO:254807
ORPHANET.ORDO:1215	ORPHANET.ORDO:98672
ORPHANET.ORDO:1216	ORPHANET.ORDO:140465
ORPHANET.ORDO:1217	ORPHANET.ORDO:206710
ORPHANET.ORDO:1225	owl:Thing
ORPHANET.ORDO:1226	owl:Thing
ORPHANET.ORDO:1227	owl:Thing
ORPHANET.ORDO:1228	owl:Thing
ORPHANET.ORDO:1229	ORPHANET.ORDO:71859
ORPHANET.ORDO:122	ORPHANET.ORDO:183487
ORPHANET.ORDO:1231	owl:Thing
ORPHANET.ORDO:1234	owl:Thing
ORPHANET.ORDO:1237	owl:Thing
ORPHANET.ORDO:1239	owl:Thing
ORPHANET.ORDO:123	ORPHANET.ORDO:309136
ORPHANET.ORDO:123	ORPHANET.ORDO:79366
ORPHANET.ORDO:1240	ORPHANET.ORDO:93430
ORPHANET.ORDO:1241	owl:Thing
ORPHANET.ORDO:1243	ORPHANET.ORDO:98664
ORPHANET.ORDO:1246	ORPHANET.ORDO:102283
ORPHANET.ORDO:1248	ORPHANET.ORDO:156237
ORPHANET.ORDO:1248	ORPHANET.ORDO:330206
ORPHANET.ORDO:1248	ORPHANET.ORDO:90642
ORPHANET.ORDO:124	ORPHANET.ORDO:139039
ORPHANET.ORDO:124	ORPHANET.ORDO:183422
ORPHANET.ORDO:124	ORPHANET.ORDO:68383
ORPHANET.ORDO:124	ORPHANET.ORDO:79191
ORPHANET.ORDO:124	MONDO:0001713
ORPHANET.ORDO:1252	ORPHANET.ORDO:102283
ORPHANET.ORDO:1252	ORPHANET.ORDO:183763
ORPHANET.ORDO:1253	owl:Thing
ORPHANET.ORDO:1256	ORPHANET.ORDO:108987
ORPHANET.ORDO:1256	ORPHANET.ORDO:93459
ORPHANET.ORDO:1256	ORPHANET.ORDO:98578
ORPHANET.ORDO:1258	ORPHANET.ORDO:183580
ORPHANET.ORDO:1259	ORPHANET.ORDO:108985
ORPHANET.ORDO:1259	ORPHANET.ORDO:98653
ORPHANET.ORDO:125	owl:Thing
ORPHANET.ORDO:1260	ORPHANET.ORDO:101934
ORPHANET.ORDO:1261	owl:Thing
ORPHANET.ORDO:1262	owl:Thing
ORPHANET.ORDO:1263	owl:Thing
ORPHANET.ORDO:1264	ORPHANET.ORDO:79373
ORPHANET.ORDO:1266	ORPHANET.ORDO:330206
ORPHANET.ORDO:126	ORPHANET.ORDO:108985
ORPHANET.ORDO:126	ORPHANET.ORDO:400022
ORPHANET.ORDO:126	ORPHANET.ORDO:95710
ORPHANET.ORDO:126	ORPHANET.ORDO:98571
ORPHANET.ORDO:126	ORPHANET.ORDO:98575
ORPHANET.ORDO:126	ORPHANET.ORDO:98578
ORPHANET.ORDO:1270	owl:Thing
ORPHANET.ORDO:1272	ORPHANET.ORDO:102283
ORPHANET.ORDO:1272	ORPHANET.ORDO:183763
ORPHANET.ORDO:1272	ORPHANET.ORDO:98641
ORPHANET.ORDO:1275	ORPHANET.ORDO:69028
ORPHANET.ORDO:1276	ORPHANET.ORDO:156629
ORPHANET.ORDO:1276	ORPHANET.ORDO:69028
ORPHANET.ORDO:1277	ORPHANET.ORDO:102283
ORPHANET.ORDO:1277	ORPHANET.ORDO:183763
ORPHANET.ORDO:1278	ORPHANET.ORDO:69028
ORPHANET.ORDO:127	owl:Thing
ORPHANET.ORDO:1292	ORPHANET.ORDO:330197
ORPHANET.ORDO:1292	ORPHANET.ORDO:69028
