IRI	Direct	Inherited
http://purl.obolibrary.org/obo/HP_0000194	0	0
http://purl.obolibrary.org/obo/HP_0000200	0	0
http://purl.obolibrary.org/obo/HP_0000201	0	0
http://purl.obolibrary.org/obo/HP_0000202	0	2
http://purl.obolibrary.org/obo/HP_0000204	0	0
http://purl.obolibrary.org/obo/HP_0000218	0	0
http://purl.obolibrary.org/obo/HP_0000219	0	0
http://purl.obolibrary.org/obo/HP_0000220	0	0
http://purl.obolibrary.org/obo/HP_0000223	0	1
http://purl.obolibrary.org/obo/HP_0000225	4	0
http://purl.obolibrary.org/obo/HP_0000233	0	0
http://purl.obolibrary.org/obo/HP_0000234	0	59
http://purl.obolibrary.org/obo/HP_0000236	0	0
http://purl.obolibrary.org/obo/HP_0000238	2	0
http://purl.obolibrary.org/obo/HP_0000248	0	0
http://purl.obolibrary.org/obo/HP_0000252	0	0
http://purl.obolibrary.org/obo/HP_0000256	0	0
http://purl.obolibrary.org/obo/HP_0000260	0	0
http://purl.obolibrary.org/obo/HP_0000263	0	0
http://purl.obolibrary.org/obo/HP_0000264	0	2
http://purl.obolibrary.org/obo/HP_0000265	2	0
http://purl.obolibrary.org/obo/HP_0000268	0	0
http://purl.obolibrary.org/obo/HP_0000269	0	0
http://purl.obolibrary.org/obo/HP_0000271	0	54
http://purl.obolibrary.org/obo/HP_0000272	0	0
http://purl.obolibrary.org/obo/HP_0000276	0	0
http://purl.obolibrary.org/obo/HP_0000277	0	1
http://purl.obolibrary.org/obo/HP_0000278	0	0
http://purl.obolibrary.org/obo/HP_0000280	0	0
http://purl.obolibrary.org/obo/HP_0000282	0	0
http://purl.obolibrary.org/obo/HP_0000283	0	0
http://purl.obolibrary.org/obo/HP_0000286	0	0
http://purl.obolibrary.org/obo/HP_0000294	0	0
http://purl.obolibrary.org/obo/HP_0000303	0	0
http://purl.obolibrary.org/obo/HP_0000307	0	0
http://purl.obolibrary.org/obo/HP_0000308	0	0
http://purl.obolibrary.org/obo/HP_0000311	0	0
http://purl.obolibrary.org/obo/HP_0000316	0	0
http://purl.obolibrary.org/obo/HP_0000319	0	0
http://purl.obolibrary.org/obo/HP_0000322	0	0
http://purl.obolibrary.org/obo/HP_0000325	0	0
http://purl.obolibrary.org/obo/HP_0000327	1	0
http://purl.obolibrary.org/obo/HP_0000331	0	0
http://purl.obolibrary.org/obo/HP_0000337	0	0
http://purl.obolibrary.org/obo/HP_0000341	0	0
http://purl.obolibrary.org/obo/HP_0000343	1	0
http://purl.obolibrary.org/obo/HP_0000347	1	0
http://purl.obolibrary.org/obo/HP_0000348	0	0
http://purl.obolibrary.org/obo/HP_0000349	0	0
http://purl.obolibrary.org/obo/HP_0000356	0	1
http://purl.obolibrary.org/obo/HP_0000358	0	0
http://purl.obolibrary.org/obo/HP_0000359	0	0
http://purl.obolibrary.org/obo/HP_0000360	10	0
http://purl.obolibrary.org/obo/HP_0000363	0	0
http://purl.obolibrary.org/obo/HP_0000364	0	12
http://purl.obolibrary.org/obo/HP_0000366	0	5
http://purl.obolibrary.org/obo/HP_0000368	0	0
http://purl.obolibrary.org/obo/HP_0000369	0	0
http://purl.obolibrary.org/obo/HP_0000376	0	0
http://purl.obolibrary.org/obo/HP_0000377	0	0
http://purl.obolibrary.org/obo/HP_0000384	0	0
http://purl.obolibrary.org/obo/HP_0000391	0	0
http://purl.obolibrary.org/obo/HP_0000396	0	0
http://purl.obolibrary.org/obo/HP_0000399	0	0
http://purl.obolibrary.org/obo/HP_0000400	0	0
http://purl.obolibrary.org/obo/HP_0000402	1	0
http://purl.obolibrary.org/obo/HP_0000405	1	0
http://purl.obolibrary.org/obo/HP_0000407	1	0
http://purl.obolibrary.org/obo/HP_0000408	0	0
http://purl.obolibrary.org/obo/HP_0000411	0	0
